run_id,experiment_id,benchmark,config_name,agent,model,status,trial,duration_seconds,total_tokens,cost_usd,cost_provenance,validity,files_changed,insertions,deletions,execution_backend
20260825T202145Z-1d9068,20260825T191521Z-4727103d,txnrollback,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,96.281,173909,,unpriced/provider_models_api/unknown,valid,1,15,5,host
20260825T201749Z-832312,20260825T191521Z-4727103d,cacheflow,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,protected_path_violation,2,241.079,952193,0.029633990000000006,provider_models_api/estimated,valid,2,27,7,host
20260825T201756Z-a6d886,20260825T191521Z-4727103d,cacheflow,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,3,223.875,790619,0.02448337,provider_models_api/estimated,valid,1,18,6,host
20260825T201532Z-c4f12d,20260825T191521Z-4727103d,cacheflow,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,138.422,234364,,unpriced/provider_models_api/unknown,valid,1,22,7,host
20260825T201532Z-e73c77,20260825T191521Z-4727103d,cacheflow,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,1,130.828,329585,0.01045205,provider_models_api/estimated,valid,1,25,6,host
20260825T200428Z-af2237,20260825T191521Z-4727103d,cacheflow,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,596.609,219677,,unpriced/provider_models_api/unknown,valid,2,30,8,host
20260825T200127Z-d8d443,20260825T191521Z-4727103d,cacheflow,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,175.016,174240,,unpriced/provider_models_api/unknown,valid,1,11,8,host
20260825T200050Z-3326a5,20260825T191521Z-4727103d,pluginreg,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,3,90.829,168827,0.0054848100000000006,provider_models_api/estimated,valid,1,20,8,host
20260825T195653Z-a3cde0,20260825T191521Z-4727103d,pluginreg,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,1,270.531,354410,0.011231399999999999,provider_models_api/estimated,valid,1,6,7,host
20260825T195946Z-a0be26,20260825T191521Z-4727103d,pluginreg,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,2,61.172,127697,0.00405721,provider_models_api/estimated,valid,1,20,8,host
20260825T195652Z-92bbbb,20260825T191521Z-4727103d,pluginreg,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,170.875,256770,,unpriced/provider_models_api/unknown,valid,1,10,8,host
20260825T195426Z-123f07,20260825T191521Z-4727103d,pluginreg,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,142.422,251888,,unpriced/provider_models_api/unknown,valid,1,9,8,host
20260825T195449Z-3c0060,20260825T191521Z-4727103d,pluginreg,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,118.328,201837,,unpriced/provider_models_api/unknown,valid,1,9,8,host
20260825T195308Z-18bda5,20260825T191521Z-4727103d,statelock,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,3,97.437,14246,0.00043168,provider_models_api/estimated,valid,0,0,0,host
20260825T194900Z-3915cd,20260825T191521Z-4727103d,statelock,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,1,322.156,942878,0.02983894,provider_models_api/estimated,valid,2,72,11,host
20260825T195014Z-4792ed,20260825T191521Z-4727103d,statelock,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,2,170.781,378937,0.012384609999999999,provider_models_api/estimated,valid,1,13,1,host
20260825T194655Z-815b2b,20260825T191521Z-4727103d,statelock,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,196.016,269510,,unpriced/provider_models_api/unknown,valid,2,32,9,host
20260825T194431Z-dbebc7,20260825T191521Z-4727103d,statelock,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,265.578,314396,,unpriced/provider_models_api/unknown,valid,2,57,25,host
20260825T194352Z-9386e8,20260825T191521Z-4727103d,statelock,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,179.141,274932,,unpriced/provider_models_api/unknown,valid,2,32,15,host
20260825T194124Z-c92ebc,20260825T191521Z-4727103d,vercomp,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,3,183.782,355310,0.0116311,provider_models_api/estimated,valid,1,75,4,host
20260825T193923Z-57e098,20260825T191521Z-4727103d,vercomp,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,2,266.516,1079339,0.03400347,provider_models_api/estimated,valid,2,116,6,host
20260825T193852Z-7696ee,20260825T191521Z-4727103d,vercomp,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,1,146.328,368796,0.01188258,provider_models_api/estimated,valid,2,108,8,host
20260825T193608Z-4e5d22,20260825T191521Z-4727103d,vercomp,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,190.813,245783,,unpriced/provider_models_api/unknown,valid,1,39,6,host
20260825T193715Z-5c0093,20260825T191521Z-4727103d,vercomp,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,93.969,97484,,unpriced/provider_models_api/unknown,valid,1,31,6,host
20260825T193541Z-e02ba8,20260825T191521Z-4727103d,vercomp,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,89.922,130174,,unpriced/provider_models_api/unknown,valid,1,31,6,host
20260825T193246Z-aa8779,20260825T191521Z-4727103d,leasekit,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,3,198.843,514348,0.01606974,provider_models_api/estimated,valid,1,9,5,host
20260825T192536Z-5b792e,20260825T191521Z-4727103d,leasekit,hermes-ox-alpha,hermes,,agent_timeout,3,605.531,,,,valid,1,22,11,host
20260825T192930Z-4469a8,20260825T191521Z-4727103d,leasekit,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,2,192.469,372743,0.01174929,provider_models_api/estimated,valid,3,36,9,host
20260825T192654Z-acec36,20260825T191521Z-4727103d,leasekit,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,1,152.61,281250,0.008667,provider_models_api/estimated,valid,1,2,1,host
20260825T192258Z-04038a,20260825T191521Z-4727103d,leasekit,hermes-ox-alpha,hermes,stealth/ox-alpha,evaluation_failed,1,232.703,378641,,unpriced/provider_models_api/unknown,valid,1,18,9,host
20260825T192303Z-47c483,20260825T191521Z-4727103d,leasekit,hermes-ox-alpha,hermes,stealth/ox-alpha,evaluation_failed,2,148.75,216803,,unpriced/provider_models_api/unknown,valid,1,40,16,host
20260825T192101Z-73e11b,20260825T191521Z-4727103d,tokenbucket,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,3,119.516,329737,0.010358210000000001,provider_models_api/estimated,valid,2,17,5,host
20260825T191833Z-5b39b8,20260825T191521Z-4727103d,tokenbucket,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,1,261.609,880549,0.027353070000000004,provider_models_api/estimated,valid,2,29,7,host
20260825T191859Z-7d42a2,20260825T191521Z-4727103d,tokenbucket,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,2,117.5,292862,0.00900446,provider_models_api/estimated,valid,2,27,5,host
20260825T191728Z-501a0c,20260825T191521Z-4727103d,tokenbucket,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,87.453,133625,,unpriced/provider_models_api/unknown,valid,1,6,6,host
20260825T191521Z-f3737c,20260825T191521Z-4727103d,tokenbucket,hermes-ox-alpha,hermes,stealth/ox-alpha,protected_path_violation,1,186.281,283775,,unpriced/provider_models_api/unknown,valid,2,35,7,host
20260825T191521Z-ae29b7,20260825T191521Z-4727103d,tokenbucket,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,123.75,219548,,unpriced/provider_models_api/unknown,valid,1,3,6,host
